gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Flag,ServiceCount,Churn_Label,Churn_Probability,Risk_Level,Recommended_Action,Revenue_At_Risk
Male,0,No,No,52,Yes,No,DSL,1,1,0,0,1,0,Two year,Yes,Credit card (automatic),63.25,3342.45,No,0,3,0,0.027055077,Low Risk,​​​​​​​✅ No Immediate Action,13.527538
Male,0,Yes,Yes,5,Yes,No,No,0,0,0,0,0,0,One year,No,Mailed check,20.1,85.1,No,0,0,0,0.04439995,Low Risk,​​​​​​​✅ No Immediate Action,22.199976
Male,0,Yes,No,72,Yes,Yes,Fiber optic,1,1,1,0,0,1,Two year,Yes,Electronic check,99.15,7422.1,No,0,4,0,0.01106405,Low Risk,​​​​​​​✅ No Immediate Action,5.532025
Male,0,Yes,Yes,71,Yes,Yes,DSL,1,1,1,1,1,1,Two year,No,Electronic check,90.4,6668.05,No,0,6,0,0.0050273286,Low Risk,​​​​​​​✅ No Immediate Action,2.5136642
Male,0,Yes,No,72,Yes,Yes,Fiber optic,1,0,1,1,1,1,Two year,Yes,Credit card (automatic),111.9,8071.05,No,0,5,0,0.024865419,Low Risk,​​​​​​​✅ No Immediate Action,12.43271
Male,0,Yes,Yes,46,Yes,Yes,No,0,0,0,0,0,0,One year,No,Electronic check,24.9,1174.8,No,0,0,0,0.06736486,Low Risk,​​​​​​​✅ No Immediate Action,33.682426
Male,0,Yes,Yes,63,Yes,Yes,DSL,1,1,1,0,1,1,Two year,No,Credit card (automatic),83.5,5435.0,No,0,5,0,0.010360605,Low Risk,​​​​​​​✅ No Immediate Action,5.1803026
Male,0,No,No,30,Yes,No,Fiber optic,1,1,1,0,0,0,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,No,0,3,0,0.19356155,Low Risk,​​​​​​​✅ No Immediate Action,96.78078
Male,0,No,No,1,Yes,No,DSL,0,0,0,0,0,0,Month-to-month,No,Mailed check,45.6,45.6,No,0,0,0,0.7275216,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,363.7608
Female,0,No,No,12,Yes,Yes,DSL,1,0,1,1,0,0,Month-to-month,Yes,Mailed check,61.65,713.75,Yes,1,3,1,0.09313585,Low Risk,​​​​​​​✅ No Immediate Action,46.567924
Male,0,No,No,16,No,No phone service,DSL,1,1,1,1,1,0,Two year,No,Mailed check,54.85,916.15,No,0,5,0,0.0152191,Low Risk,​​​​​​​✅ No Immediate Action,7.60955
Male,0,No,No,4,Yes,Yes,DSL,0,0,0,1,0,1,Month-to-month,No,Mailed check,65.55,237.2,No,0,2,0,0.079728015,Low Risk,​​​​​​​✅ No Immediate Action,39.864006
Male,0,Yes,No,51,Yes,Yes,Fiber optic,0,1,0,0,0,1,One year,Yes,Credit card (automatic),90.35,4614.55,No,0,2,0,0.53800523,Low Risk,​​​​​​​✅ No Immediate Action,269.00262
Male,0,Yes,No,65,Yes,No,No,0,0,0,0,0,0,Two year,Yes,Credit card (automatic),20.4,1414.45,No,0,0,0,0.004793386,Low Risk,​​​​​​​✅ No Immediate Action,2.396693
Male,0,No,No,16,Yes,No,Fiber optic,0,0,0,1,0,0,Month-to-month,Yes,Credit card (automatic),74.55,1170.5,No,0,1,0,0.21111894,Low Risk,​​​​​​​✅ No Immediate Action,105.55947
Male,0,No,No,2,Yes,No,No,0,0,0,0,0,0,One year,No,Mailed check,19.95,47.7,No,0,0,0,0.036391035,Low Risk,​​​​​​​✅ No Immediate Action,18.195517
Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,0,0,0,0,0,0,One year,Yes,Bank transfer (automatic),74.25,4859.25,No,0,0,0,0.046712898,Low Risk,​​​​​​​✅ No Immediate Action,23.35645
Male,0,No,No,46,Yes,Yes,Fiber optic,0,1,1,1,1,1,Two year,No,Electronic check,108.65,4903.2,No,0,5,0,0.18914346,Low Risk,​​​​​​​✅ No Immediate Action,94.57173
Female,0,No,No,32,Yes,Yes,Fiber optic,1,0,1,1,1,1,One year,Yes,Bank transfer (automatic),109.55,3608.0,No,0,5,0,0.13659519,Low Risk,​​​​​​​✅ No Immediate Action,68.29759
Male,0,Yes,No,72,Yes,Yes,DSL,1,0,1,1,1,1,Two year,No,Credit card (automatic),86.65,6094.25,No,0,5,0,0.0022347292,Low Risk,​​​​​​​✅ No Immediate Action,1.1173646
Male,0,Yes,Yes,38,Yes,No,DSL,1,0,1,1,1,1,Two year,No,Credit card (automatic),81.0,3084.9,No,0,5,0,0.023135424,Low Risk,​​​​​​​✅ No Immediate Action,11.567712
Male,0,No,Yes,51,Yes,No,DSL,0,0,0,1,0,0,One year,No,Credit card (automatic),47.85,2356.75,No,0,1,0,0.039249048,Low Risk,​​​​​​​✅ No Immediate Action,19.624523
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,1,1,1,1,1,1,Two year,No,Bank transfer (automatic),114.55,8306.05,No,0,6,0,0.005384356,Low Risk,​​​​​​​✅ No Immediate Action,2.6921778
Female,1,Yes,No,65,Yes,Yes,Fiber optic,1,0,1,0,1,1,Month-to-month,No,Bank transfer (automatic),105.25,6786.4,Yes,1,4,1,0.44185182,Low Risk,​​​​​​​✅ No Immediate Action,220.92592
Male,0,Yes,Yes,9,No,No phone service,DSL,0,1,0,0,0,0,Month-to-month,Yes,Electronic check,29.95,248.95,Yes,1,1,1,0.6820276,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,341.0138
Female,0,Yes,Yes,9,Yes,No,DSL,1,1,1,1,0,0,Month-to-month,No,Mailed check,65.0,663.05,Yes,1,4,1,0.6098856,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,304.94278
Male,0,No,Yes,66,Yes,No,No,0,0,0,0,0,0,Two year,No,Mailed check,20.55,1357.1,No,0,0,0,0.0037142532,Low Risk,​​​​​​​✅ No Immediate Action,1.8571266
Female,1,No,No,44,Yes,Yes,Fiber optic,1,1,1,0,1,1,One year,Yes,Credit card (automatic),109.8,4860.35,No,0,5,0,0.12872219,Low Risk,​​​​​​​✅ No Immediate Action,64.3611
Male,0,No,No,50,Yes,Yes,DSL,0,0,1,1,0,1,Two year,No,Bank transfer (automatic),69.5,3418.2,No,0,3,0,0.013761793,Low Risk,​​​​​​​✅ No Immediate Action,6.8808966
Female,0,No,No,15,Yes,Yes,DSL,0,0,0,0,0,0,Month-to-month,No,Mailed check,48.85,631.4,No,0,0,0,0.2470305,Low Risk,​​​​​​​✅ No Immediate Action,123.51525
Male,0,No,No,8,No,No phone service,DSL,0,0,0,0,0,0,Month-to-month,Yes,Credit card (automatic),25.25,186.3,No,0,0,0,0.1728464,Low Risk,​​​​​​​✅ No Immediate Action,86.4232
Female,1,No,No,66,Yes,Yes,Fiber optic,0,0,1,1,1,1,One year,Yes,Credit card (automatic),102.85,6976.75,No,0,4,0,0.27398306,Low Risk,​​​​​​​✅ No Immediate Action,136.99153
Female,0,No,No,57,Yes,Yes,Fiber optic,1,1,0,1,0,0,Month-to-month,Yes,Bank transfer (automatic),87.55,4884.85,No,0,3,0,0.025047518,Low Risk,​​​​​​​✅ No Immediate Action,12.523759
Female,0,No,No,7,Yes,Yes,Fiber optic,0,1,0,0,0,0,Month-to-month,Yes,Bank transfer (automatic),78.55,522.95,No,0,1,0,0.5375759,Low Risk,​​​​​​​✅ No Immediate Action,268.78796
Male,1,Yes,Yes,10,No,No phone service,DSL,0,0,0,0,0,1,Month-to-month,Yes,Bank transfer (automatic),34.55,362.6,No,0,1,0,0.38856602,Low Risk,​​​​​​​✅ No Immediate Action,194.283
Female,0,No,No,62,Yes,Yes,Fiber optic,1,1,1,0,0,0,One year,Yes,Electronic check,92.05,5755.8,No,0,3,0,0.07228451,Low Risk,​​​​​​​✅ No Immediate Action,36.142258
Male,0,Yes,Yes,40,Yes,No,Fiber optic,0,0,1,0,1,0,One year,Yes,Electronic check,85.05,3355.65,No,0,2,0,0.3893748,Low Risk,​​​​​​​✅ No Immediate Action,194.6874
Female,0,No,No,20,Yes,No,No,0,0,0,0,0,0,Two year,No,Mailed check,19.7,406.95,No,0,0,0,0.017633928,Low Risk,​​​​​​​✅ No Immediate Action,8.816964
Female,0,No,No,7,Yes,No,No,0,0,0,0,0,0,Month-to-month,No,Bank transfer (automatic),20.0,137.6,Yes,1,0,1,0.31083286,Low Risk,​​​​​​​✅ No Immediate Action,155.41643
Female,0,Yes,No,25,Yes,No,Fiber optic,0,0,0,1,1,1,Month-to-month,Yes,Electronic check,95.15,2395.7,No,0,3,0,0.16167265,Low Risk,​​​​​​​✅ No Immediate Action,80.83633
Male,0,Yes,No,23,Yes,Yes,Fiber optic,0,1,1,0,0,0,Month-to-month,No,Electronic check,84.25,1968.1,No,0,2,0,0.5352921,Low Risk,​​​​​​​✅ No Immediate Action,267.64606
Female,1,Yes,No,66,Yes,Yes,Fiber optic,0,1,1,0,1,1,One year,No,Credit card (automatic),104.6,6819.45,No,0,4,0,0.08448936,Low Risk,​​​​​​​✅ No Immediate Action,42.24468
Female,1,No,No,72,Yes,Yes,Fiber optic,0,1,1,1,1,1,Two year,No,Electronic check,111.65,7943.45,No,0,5,0,0.011487744,Low Risk,​​​​​​​✅ No Immediate Action,5.7438717
Male,1,Yes,No,49,Yes,Yes,Fiber optic,0,1,0,0,0,1,Month-to-month,No,Credit card (automatic),90.05,4547.25,Yes,1,2,1,0.59098333,Low Risk,​​​​​​​✅ No Immediate Action,295.49167
Male,1,Yes,Yes,43,Yes,Yes,Fiber optic,0,1,1,1,1,1,Month-to-month,Yes,Bank transfer (automatic),110.75,4687.9,Yes,1,5,1,0.69936436,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,349.6822
Female,0,Yes,No,46,Yes,Yes,DSL,1,0,0,0,0,0,Month-to-month,No,Bank transfer (automatic),55.0,2473.95,No,0,1,0,0.044157453,Low Risk,​​​​​​​✅ No Immediate Action,22.078726
Male,0,Yes,Yes,72,Yes,Yes,DSL,1,1,1,1,1,1,Two year,No,Credit card (automatic),89.85,6562.9,No,0,6,0,0.0023328632,Low Risk,​​​​​​​✅ No Immediate Action,1.1664315
Male,0,No,No,10,Yes,No,No,0,0,0,0,0,0,One year,No,Mailed check,20.35,176.3,No,0,0,0,0.021120371,Low Risk,​​​​​​​✅ No Immediate Action,10.560185
Female,0,No,No,40,No,No phone service,DSL,1,0,0,1,1,1,One year,Yes,Bank transfer (automatic),54.55,2236.2,No,0,4,0,0.022600427,Low Risk,​​​​​​​✅ No Immediate Action,11.300214
Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,0,1,1,0,1,1,Month-to-month,Yes,Electronic check,105.5,6985.65,Yes,1,4,1,0.5969962,Low Risk,​​​​​​​✅ No Immediate Action,298.4981
Male,0,No,No,31,Yes,No,Fiber optic,0,0,1,1,1,1,Two year,No,Bank transfer (automatic),99.45,3109.9,No,0,4,0,0.031458557,Low Risk,​​​​​​​✅ No Immediate Action,15.729279
Female,0,Yes,No,68,Yes,Yes,DSL,1,1,1,1,0,0,Two year,No,Credit card (automatic),70.9,4911.35,No,0,4,0,0.07013193,Low Risk,​​​​​​​✅ No Immediate Action,35.065964
Male,1,Yes,Yes,56,Yes,Yes,Fiber optic,1,0,1,0,1,1,One year,Yes,Bank transfer (automatic),104.55,5794.65,Yes,1,4,1,0.72756743,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,363.78372
Male,0,Yes,No,10,Yes,Yes,Fiber optic,0,0,0,0,0,1,Month-to-month,Yes,Electronic check,85.25,855.3,Yes,1,1,1,0.96761984,High Risk,​​​​​​​🔥 Call + 20% Discount,483.8099
Male,0,Yes,Yes,68,Yes,Yes,No,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),25.4,1620.2,No,0,0,0,0.0022785207,Low Risk,​​​​​​​✅ No Immediate Action,1.1392604
Female,0,Yes,Yes,43,Yes,No,DSL,0,0,0,0,1,0,Month-to-month,No,Electronic check,56.15,2499.3,Yes,1,1,1,0.38518625,Low Risk,​​​​​​​✅ No Immediate Action,192.59312
Male,0,No,No,1,Yes,No,Fiber optic,0,0,0,0,1,1,Month-to-month,Yes,Electronic check,89.55,89.55,Yes,1,2,1,0.93595123,High Risk,​​​​​​​🔥 Call + 20% Discount,467.97562
Female,1,No,No,49,Yes,No,Fiber optic,0,1,1,0,0,1,One year,Yes,Bank transfer (automatic),89.85,4287.2,No,0,3,0,0.08112533,Low Risk,​​​​​​​✅ No Immediate Action,40.562664
Female,0,Yes,Yes,15,Yes,Yes,No,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,25.25,394.85,No,0,0,0,0.21274246,Low Risk,​​​​​​​✅ No Immediate Action,106.37123
Male,1,Yes,No,20,Yes,Yes,Fiber optic,0,0,0,0,1,1,Month-to-month,Yes,Electronic check,94.55,1899.65,Yes,1,2,1,0.84102744,High Risk,​​​​​​​🔥 Call + 20% Discount,420.51373
Male,0,No,No,1,Yes,No,DSL,0,0,0,0,0,0,Month-to-month,Yes,Mailed check,45.7,45.7,Yes,1,0,1,0.8266503,High Risk,​​​​​​​🔥 Call + 20% Discount,413.32516
Male,0,Yes,Yes,50,Yes,Yes,DSL,0,0,1,1,1,0,One year,Yes,Electronic check,69.65,3442.15,No,0,3,0,0.06934525,Low Risk,​​​​​​​✅ No Immediate Action,34.672626
Female,1,No,No,2,Yes,Yes,Fiber optic,0,1,0,0,0,1,Month-to-month,No,Electronic check,89.5,161.5,Yes,1,2,1,0.8661138,High Risk,​​​​​​​🔥 Call + 20% Discount,433.0569
Male,1,No,No,24,Yes,No,Fiber optic,0,0,0,0,0,0,Month-to-month,No,Credit card (automatic),70.0,1732.6,No,0,0,0,0.14435533,Low Risk,​​​​​​​✅ No Immediate Action,72.177666
Female,0,No,No,3,Yes,No,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Bank transfer (automatic),69.55,222.3,Yes,1,0,1,0.5127203,Low Risk,​​​​​​​✅ No Immediate Action,256.36014
Female,0,No,No,1,Yes,No,Fiber optic,0,0,1,0,0,0,Month-to-month,Yes,Mailed check,74.6,74.6,Yes,1,1,1,0.9092652,High Risk,​​​​​​​🔥 Call + 20% Discount,454.6326
Male,0,Yes,Yes,35,Yes,No,No,0,0,0,0,0,0,Two year,No,Mailed check,20.1,655.3,No,0,0,0,0.011773043,Low Risk,​​​​​​​✅ No Immediate Action,5.886522
Female,0,No,No,17,Yes,Yes,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,24.8,475.25,No,0,0,0,0.096507624,Low Risk,​​​​​​​✅ No Immediate Action,48.25381
Female,1,No,No,8,Yes,No,No,0,0,0,0,0,0,Month-to-month,No,Electronic check,19.65,164.3,Yes,1,0,1,0.252311,Low Risk,​​​​​​​✅ No Immediate Action,126.155495
Male,0,No,No,10,Yes,No,Fiber optic,0,0,0,1,1,1,Month-to-month,Yes,Credit card (automatic),95.1,865.1,No,0,3,0,0.2899398,Low Risk,​​​​​​​✅ No Immediate Action,144.9699
Male,0,Yes,Yes,68,Yes,Yes,DSL,1,1,1,1,1,1,Two year,Yes,Credit card (automatic),88.85,6132.7,No,0,6,0,0.0076453746,Low Risk,​​​​​​​✅ No Immediate Action,3.8226874
Male,0,Yes,No,45,Yes,No,DSL,1,1,1,0,1,1,One year,No,Bank transfer (automatic),78.8,3597.5,No,0,5,0,0.081515014,Low Risk,​​​​​​​✅ No Immediate Action,40.757507
Male,0,Yes,Yes,2,Yes,No,No,0,0,0,0,0,0,One year,No,Mailed check,19.85,35.9,Yes,1,0,1,0.05262303,Low Risk,​​​​​​​✅ No Immediate Action,26.311516
Male,0,Yes,No,37,Yes,No,No,0,0,0,0,0,0,Month-to-month,No,Bank transfer (automatic),20.35,697.65,No,0,0,0,0.043152176,Low Risk,​​​​​​​✅ No Immediate Action,21.576088
Female,0,No,No,4,No,No phone service,DSL,0,0,0,0,0,0,Month-to-month,Yes,Mailed check,24.25,96.05,Yes,1,0,1,0.56016076,Low Risk,​​​​​​​✅ No Immediate Action,280.08038
Female,0,No,No,10,Yes,No,DSL,0,0,0,0,0,0,Month-to-month,No,Mailed check,45.25,428.7,No,0,0,0,0.20187813,Low Risk,​​​​​​​✅ No Immediate Action,100.939064
Male,0,No,No,1,Yes,No,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,20.05,20.05,No,0,0,0,0.69267935,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,346.33966
Male,0,Yes,Yes,65,Yes,Yes,DSL,1,1,0,0,0,1,Two year,Yes,Mailed check,69.55,4459.15,No,0,3,0,0.011506229,Low Risk,​​​​​​​✅ No Immediate Action,5.753114
Female,0,Yes,Yes,57,Yes,No,No,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),19.5,1167.6,No,0,0,0,0.025960324,Low Risk,​​​​​​​✅ No Immediate Action,12.980163
Female,0,No,No,3,Yes,No,Fiber optic,0,0,1,0,0,0,Month-to-month,Yes,Mailed check,74.75,238.1,No,0,1,0,0.60225815,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,301.12906
Female,0,No,No,2,Yes,No,Fiber optic,0,0,0,0,0,0,Month-to-month,No,Electronic check,69.65,145.15,Yes,1,0,1,0.63223976,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,316.11987
Male,0,No,No,49,No,No phone service,DSL,0,0,1,0,0,0,Month-to-month,Yes,Bank transfer (automatic),30.2,1453.1,No,0,1,0,0.2558592,Low Risk,​​​​​​​✅ No Immediate Action,127.929596
Female,0,No,No,4,Yes,No,DSL,0,0,0,0,0,0,Month-to-month,No,Mailed check,45.65,191.05,Yes,1,0,1,0.45397666,Low Risk,​​​​​​​✅ No Immediate Action,226.98833
Female,0,Yes,No,70,No,No phone service,DSL,0,1,1,1,1,1,Two year,No,Bank transfer (automatic),57.8,4039.3,No,0,5,0,0.008298212,Low Risk,​​​​​​​✅ No Immediate Action,4.149106
Female,0,Yes,Yes,53,Yes,No,No,0,0,0,0,0,0,One year,Yes,Bank transfer (automatic),19.85,1039.45,No,0,0,0,0.06653921,Low Risk,​​​​​​​✅ No Immediate Action,33.269608
Male,0,Yes,Yes,53,Yes,Yes,No,0,0,0,0,0,0,Two year,No,Credit card (automatic),25.55,1336.1,No,0,0,0,0.04804486,Low Risk,​​​​​​​✅ No Immediate Action,24.02243
Female,0,No,No,1,Yes,Yes,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Mailed check,75.05,75.05,Yes,1,0,1,0.9542651,High Risk,​​​​​​​🔥 Call + 20% Discount,477.13257
Male,0,No,No,22,Yes,Yes,No,0,0,0,0,0,0,Month-to-month,Yes,Credit card (automatic),24.85,493.4,No,0,0,0,0.08614842,Low Risk,​​​​​​​✅ No Immediate Action,43.07421
Male,1,No,No,52,No,No phone service,DSL,0,1,0,0,1,1,Month-to-month,Yes,Electronic check,49.15,2550.9,Yes,1,3,1,0.6226319,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,311.31595
Male,1,No,No,65,Yes,Yes,Fiber optic,1,0,1,1,1,1,Two year,Yes,Electronic check,110.35,7246.15,No,0,5,0,0.226699,Low Risk,​​​​​​​✅ No Immediate Action,113.349495
Female,0,No,No,48,Yes,Yes,No,0,0,0,0,0,0,One year,No,Bank transfer (automatic),24.55,1203.95,No,0,0,0,0.022826001,Low Risk,​​​​​​​✅ No Immediate Action,11.413
Female,0,No,No,2,No,No phone service,DSL,0,0,0,0,0,1,Month-to-month,Yes,Electronic check,34.7,62.25,Yes,1,1,1,0.90651494,High Risk,​​​​​​​🔥 Call + 20% Discount,453.25748
Male,0,No,No,3,Yes,Yes,Fiber optic,0,1,1,0,1,1,Month-to-month,No,Mailed check,107.95,313.6,No,0,4,0,0.28554398,Low Risk,​​​​​​​✅ No Immediate Action,142.77199
Male,0,Yes,No,45,Yes,Yes,Fiber optic,0,1,0,0,0,0,Month-to-month,No,Bank transfer (automatic),81.4,3775.85,No,0,1,0,0.07513934,Low Risk,​​​​​​​✅ No Immediate Action,37.569668
Male,0,Yes,Yes,1,Yes,No,Fiber optic,0,0,0,0,0,1,Month-to-month,No,Electronic check,80.0,80.0,Yes,1,1,1,0.9289252,High Risk,​​​​​​​🔥 Call + 20% Discount,464.46262
Female,0,Yes,Yes,61,Yes,No,DSL,0,0,1,1,1,1,Two year,Yes,Bank transfer (automatic),73.8,4616.05,No,0,4,0,0.014087694,Low Risk,​​​​​​​✅ No Immediate Action,7.043847
Male,0,No,No,3,Yes,No,DSL,1,0,0,1,1,0,Month-to-month,Yes,Credit card (automatic),64.4,195.65,No,0,3,0,0.07601284,Low Risk,​​​​​​​✅ No Immediate Action,38.00642
Female,1,No,No,40,Yes,Yes,Fiber optic,0,0,1,1,1,1,One year,Yes,Credit card (automatic),103.75,4188.4,No,0,4,0,0.15538022,Low Risk,​​​​​​​✅ No Immediate Action,77.69011
Female,0,No,No,1,Yes,No,Fiber optic,0,0,0,0,0,0,Month-to-month,No,Mailed check,71.1,71.1,No,0,0,0,0.7887833,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,394.39166
Female,0,No,No,1,Yes,No,DSL,0,0,0,1,0,0,Month-to-month,Yes,Electronic check,49.9,49.9,No,0,1,0,0.7065489,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,353.27448
Male,0,No,No,51,Yes,Yes,No,0,0,0,0,0,0,One year,Yes,Bank transfer (automatic),24.6,1266.4,No,0,0,0,0.028141158,Low Risk,​​​​​​​✅ No Immediate Action,14.070579
Male,1,No,No,2,Yes,No,DSL,1,0,0,0,0,0,Month-to-month,Yes,Electronic check,49.25,91.1,Yes,1,1,1,0.9065725,High Risk,​​​​​​​🔥 Call + 20% Discount,453.28625
Male,0,No,No,52,No,No phone service,DSL,0,1,0,0,0,0,One year,No,Mailed check,30.1,1623.4,No,0,1,0,0.18113393,Low Risk,​​​​​​​✅ No Immediate Action,90.56696
Male,0,No,No,51,Yes,Yes,Fiber optic,0,0,0,0,0,1,Month-to-month,No,Bank transfer (automatic),83.4,4149.45,No,0,1,0,0.31066015,Low Risk,​​​​​​​✅ No Immediate Action,155.33008
Male,0,No,No,1,Yes,No,No,0,0,0,0,0,0,Month-to-month,Yes,Mailed check,20.45,20.45,No,0,0,0,0.42874917,Low Risk,​​​​​​​✅ No Immediate Action,214.37459
Male,0,Yes,Yes,31,Yes,Yes,DSL,1,1,0,1,0,1,One year,Yes,Bank transfer (automatic),75.25,2344.5,No,0,4,0,0.06863175,Low Risk,​​​​​​​✅ No Immediate Action,34.315876
Male,0,No,Yes,47,Yes,No,No,0,0,0,0,0,0,One year,No,Credit card (automatic),20.55,1013.05,No,0,0,0,0.01637347,Low Risk,​​​​​​​✅ No Immediate Action,8.186735
Female,0,No,No,3,Yes,Yes,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Credit card (automatic),75.1,270.7,Yes,1,0,1,0.9220059,High Risk,​​​​​​​🔥 Call + 20% Discount,461.00296
Female,1,No,No,22,Yes,No,No,0,0,0,0,0,0,One year,Yes,Mailed check,20.05,417.0,No,0,0,0,0.025220653,Low Risk,​​​​​​​✅ No Immediate Action,12.610327
Female,0,Yes,No,1,Yes,No,No,0,0,0,0,0,0,Month-to-month,Yes,Mailed check,20.65,20.65,No,0,0,0,0.6396837,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,319.84186
Male,0,Yes,No,72,Yes,Yes,DSL,0,1,1,1,1,1,Two year,Yes,Bank transfer (automatic),85.15,6316.2,No,0,5,0,0.003900899,Low Risk,​​​​​​​✅ No Immediate Action,1.9504496
Male,0,Yes,Yes,3,Yes,No,DSL,0,0,1,0,0,0,Month-to-month,Yes,Electronic check,50.15,168.15,Yes,1,1,1,0.8731839,High Risk,​​​​​​​🔥 Call + 20% Discount,436.59195
Male,1,Yes,Yes,47,Yes,No,Fiber optic,0,1,0,0,1,0,One year,Yes,Bank transfer (automatic),84.95,4018.05,No,0,2,0,0.11015526,Low Risk,​​​​​​​✅ No Immediate Action,55.077633
Male,0,Yes,Yes,72,Yes,Yes,DSL,1,0,1,1,0,0,Two year,Yes,Credit card (automatic),66.5,4811.6,No,0,3,0,0.007797669,Low Risk,​​​​​​​✅ No Immediate Action,3.8988345
Male,0,Yes,Yes,66,Yes,Yes,DSL,0,0,1,0,1,0,Two year,Yes,Bank transfer (automatic),63.3,4189.7,No,0,2,0,0.019800156,Low Risk,​​​​​​​✅ No Immediate Action,9.900078
Male,0,No,No,35,Yes,Yes,Fiber optic,0,0,0,0,1,0,Month-to-month,No,Electronic check,83.15,2848.45,No,0,1,0,0.45501667,Low Risk,​​​​​​​✅ No Immediate Action,227.50833
Male,0,No,No,29,Yes,Yes,Fiber optic,0,0,0,0,0,1,Month-to-month,Yes,Electronic check,84.9,2516.2,No,0,1,0,0.8586738,High Risk,​​​​​​​🔥 Call + 20% Discount,429.3369
Female,0,No,No,2,Yes,No,No,0,0,0,0,0,0,Month-to-month,Yes,Mailed check,20.55,33.6,No,0,0,0,0.29125473,Low Risk,​​​​​​​✅ No Immediate Action,145.62737
Male,0,No,No,4,Yes,No,DSL,0,1,0,0,0,0,Month-to-month,No,Mailed check,49.25,208.45,No,0,1,0,0.1464792,Low Risk,​​​​​​​✅ No Immediate Action,73.2396
Female,0,No,No,25,Yes,No,Fiber optic,1,1,0,0,0,0,Month-to-month,Yes,Bank transfer (automatic),79.85,2015.35,Yes,1,2,1,0.44951615,Low Risk,​​​​​​​✅ No Immediate Action,224.75807
Female,0,No,No,65,Yes,No,DSL,1,1,0,1,0,0,Two year,Yes,Mailed check,59.6,3739.8,No,0,3,0,0.005081382,Low Risk,​​​​​​​✅ No Immediate Action,2.5406911
Male,1,No,No,27,Yes,Yes,Fiber optic,0,1,0,1,1,1,One year,Yes,Bank transfer (automatic),104.65,2964.0,No,0,4,0,0.10730696,Low Risk,​​​​​​​✅ No Immediate Action,53.65348
Male,0,Yes,No,29,Yes,No,Fiber optic,0,0,1,0,0,0,Month-to-month,Yes,Credit card (automatic),75.3,2263.4,No,0,1,0,0.32526723,Low Risk,​​​​​​​✅ No Immediate Action,162.6336
Male,0,Yes,Yes,29,Yes,Yes,DSL,0,1,1,0,1,1,Month-to-month,No,Credit card (automatic),80.1,2211.8,No,0,4,0,0.048703317,Low Risk,​​​​​​​✅ No Immediate Action,24.351658
Male,0,No,No,1,Yes,No,No,0,0,0,0,0,0,Month-to-month,No,Mailed check,19.55,19.55,Yes,1,0,1,0.60233086,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,301.16544
Female,0,Yes,No,20,Yes,No,Fiber optic,0,0,1,1,0,0,Month-to-month,Yes,Mailed check,81.0,1683.7,No,0,2,0,0.110485,Low Risk,​​​​​​​✅ No Immediate Action,55.2425
Female,0,No,No,58,Yes,Yes,No,0,0,0,0,0,0,Two year,Yes,Credit card (automatic),24.7,1519.0,No,0,0,0,0.012105083,Low Risk,​​​​​​​✅ No Immediate Action,6.0525417
Female,0,No,Yes,14,Yes,Yes,Fiber optic,1,0,0,1,0,0,Month-to-month,Yes,Mailed check,86.0,1164.05,No,0,2,0,0.21483198,Low Risk,​​​​​​​✅ No Immediate Action,107.41599
Male,0,Yes,No,72,Yes,Yes,No,0,0,0,0,0,0,Two year,No,Mailed check,25.4,1710.9,No,0,0,0,0.0019771568,Low Risk,​​​​​​​✅ No Immediate Action,0.98857844
Male,0,No,No,46,Yes,Yes,Fiber optic,1,0,0,0,1,0,Month-to-month,Yes,Credit card (automatic),89.15,4245.55,No,0,2,0,0.2053584,Low Risk,​​​​​​​✅ No Immediate Action,102.6792
